Episode 2/10, Reward: -0.3323878909866117 Cash: 157.9128856027461 
Episode 3/10, Reward: 0.02884258080753163 Cash: 13.5071861628236 
Episode 4/10, Reward: -1.230492813979062 Cash: 3.123552678239035 
Episode 5/10, Reward: -0.7508057958550055 Cash: 1.328289203751262 
Episode 6/10, Reward: -0.6658955468720861 Cash: 0.8088491582147612 
Episode 7/10, Reward: -0.6334394852570155 Cash: 0.6079086195054857 
Episode 8/10, Reward: -0.618131234550958 Cash: 0.5163796778554923 
Episode 9/10, Reward: -0.6102596115486841 Cash: 0.47071580658196144 
Episode 10/10, Reward: -0.606047292711376 Cash: 0.4467705030568876 
Episode 2/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 3/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 4/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 5/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 6/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 7/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 8/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 9/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 10/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 11/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 12/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 13/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 14/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 15/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 16/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 17/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 18/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 19/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 20/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 21/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 22/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 23/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 24/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 25/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 26/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 27/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 28/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 29/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 30/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 31/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 32/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 33/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 34/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 35/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 36/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 37/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 38/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 39/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 40/100, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 41/100, Reward: 0.40096886790241915 Cash: 10000.0 
