Episode 2/10, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 3/10, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 4/10, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 5/10, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 6/10, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 7/10, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 8/10, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 9/10, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 10/10, Reward: 0.40096886790241915 Cash: 10000.0 
Episode 2/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 3/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 4/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 5/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 6/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 7/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 8/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 9/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 10/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 11/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 12/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 13/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 14/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 15/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 16/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 17/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 18/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 19/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 20/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 21/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 22/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 23/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 24/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 25/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 26/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 27/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 28/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 29/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 30/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 31/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 32/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 33/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 34/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 35/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 36/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 37/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 38/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 39/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 40/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 41/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
Episode 42/100, Reward: 0.3833076481732674 Cash: 139.00241497299191 
