Episode 3/2000, Reward: -57.380505045415376 Cash: 9479.023641198113 
Episode 5/2000, Reward: -57.380505045415376 Cash: 9479.023641198113 
Episode 7/2000, Reward: -57.380505045415376 Cash: 9479.023641198113 
Episode 9/2000, Reward: -57.37429585420593 Cash: 9540.378596389422 
Episode 11/2000, Reward: -57.350827205074246 Cash: 9777.269640140401 
Episode 13/2000, Reward: -57.33765802730104 Cash: 9906.473680780859 
Episode 15/2000, Reward: -57.33154754784321 Cash: 9965.919311804879 
Episode 17/2000, Reward: -57.32916113944791 Cash: 9988.996278583987 
Episode 19/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 21/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 23/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 25/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 27/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 29/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 31/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 33/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 35/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 37/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 39/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 41/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 43/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 45/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 47/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 49/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 51/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 53/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 55/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 57/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 59/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 61/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 63/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 65/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 67/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 69/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 71/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 73/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 75/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 77/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 79/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 81/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 83/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 85/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 87/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 89/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 91/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 93/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 95/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 97/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 99/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 101/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 103/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 105/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 107/2000, Reward: -57.34077047802462 Cash: 9875.503623196284 
Episode 109/2000, Reward: -57.369474003709904 Cash: 9594.212778660947 
Episode 111/2000, Reward: -57.426223290677996 Cash: 9020.438177333712 
Episode 113/2000, Reward: -57.48734573986068 Cash: 8298.618236951881 
Episode 115/2000, Reward: -57.52913310734289 Cash: 7536.112324293321 
Episode 117/2000, Reward: -57.30304750840644 Cash: 6846.51414032529 
Episode 119/2000, Reward: -56.4680007368201 Cash: 6151.924843441584 
Episode 121/2000, Reward: -55.52336802440464 Cash: 5605.605647337739 
Episode 123/2000, Reward: -54.55990952799666 Cash: 5109.488419376019 
Episode 125/2000, Reward: -53.856410387054005 Cash: 4646.989392118449 
Episode 127/2000, Reward: -53.16660203807473 Cash: 4250.69586822351 
Episode 129/2000, Reward: -52.51140749680505 Cash: 3899.138462472224 
Episode 131/2000, Reward: -51.889411128265074 Cash: 3584.7690982973804 
Episode 133/2000, Reward: -51.27235783576627 Cash: 3295.177299302797 
Episode 135/2000, Reward: -50.64190782689028 Cash: 3019.2428553253835 
Episode 137/2000, Reward: -50.00600247968034 Cash: 2760.3241600962674 
Episode 139/2000, Reward: -49.35660501289752 Cash: 2523.1293138775864 
Episode 141/2000, Reward: -48.6915559729396 Cash: 2308.827141808327 
Episode 143/2000, Reward: -48.04919835425267 Cash: 2122.315552059751 
