Episode 3/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 5/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 7/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 9/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 11/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 13/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 15/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 17/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 19/2000, Reward: -49.89299572322394 Cash: 3039.5711794959902 
Episode 21/2000, Reward: -56.15952390619295 Cash: 1901.1631955780408 
Episode 23/2000, Reward: -66.07095815022659 Cash: 109.34868825530754 
Episode 25/2000, Reward: -65.32846084931516 Cash: 164.55400983852812 
Episode 27/2000, Reward: -51.39969288486859 Cash: 7572.228357634114 
Episode 29/2000, Reward: -26.131380096213007 Cash: 44090277.016610764 
Episode 31/2000, Reward: -25.184958897131654 Cash: 65557271.418604046 
Episode 33/2000, Reward: -24.94934093002724 Cash: 74899497.8308787 
Episode 35/2000, Reward: -24.6549751067942 Cash: 129860535.7986986 
Episode 37/2000, Reward: -25.188363515495038 Cash: 85099723.80142917 
Episode 39/2000, Reward: -24.466495604770458 Cash: 136989589.72507668 
Episode 41/2000, Reward: -24.225488392878212 Cash: 161124617.23761743 
Episode 43/2000, Reward: -23.700881944239796 Cash: 219172387.96069705 
Episode 45/2000, Reward: -23.474720776629912 Cash: 246303525.57172972 
Episode 47/2000, Reward: -23.75894620108438 Cash: 155034122.33732644 
Episode 49/2000, Reward: -23.802062698218123 Cash: 136591523.47288802 
Episode 51/2000, Reward: -23.4035502874936 Cash: 172653999.79143587 
Episode 53/2000, Reward: -23.107182166869876 Cash: 241640888.36145276 
Episode 55/2000, Reward: -23.34678992798866 Cash: 194583935.95853144 
Episode 57/2000, Reward: -23.236721693377195 Cash: 206593335.45245618 
Episode 59/2000, Reward: -23.596028077954298 Cash: 137486832.28401482 
Episode 61/2000, Reward: -23.852356646288396 Cash: 129141271.57928434 
Episode 63/2000, Reward: -24.088667235958933 Cash: 108982207.24065702 
Episode 65/2000, Reward: -23.677713600846324 Cash: 132279979.29083598 
Episode 67/2000, Reward: -24.351861583682336 Cash: 96371198.93737823 
Episode 69/2000, Reward: -23.795115806788804 Cash: 153627515.18948513 
Episode 71/2000, Reward: -24.125022568913792 Cash: 118898764.34658706 
Episode 73/2000, Reward: -24.24823488673016 Cash: 108528833.74412957 
Episode 75/2000, Reward: -24.640120319880292 Cash: 78705385.74831173 
Episode 77/2000, Reward: -24.668378323246234 Cash: 76203832.73224887 
Episode 79/2000, Reward: -24.54887196246901 Cash: 92510021.01018465 
