Episode 1/2000, Reward: -0.39693108905937713 Cash: 10000.0 
Episode 11/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 21/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 31/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 41/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 51/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 61/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 71/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 81/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 91/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 101/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 111/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 121/2000, Reward: -0.40096886790241903 Cash: 10000.0 
Episode 131/2000, Reward: -0.40096886790241903 Cash: 10000.0 
