Episode 1/2000, Reward: -0.9336974149643381 Cash: 5525.755873694497 
Episode 11/2000, Reward: -0.7772202320138344 Cash: 5132.268973767575 
Episode 21/2000, Reward: -0.7772190634792586 Cash: 5132.268837182454 
Episode 31/2000, Reward: -0.7772193821705329 Cash: 5132.268874432903 
Episode 41/2000, Reward: -0.7773152805975143 Cash: 5132.2800853167255 
Episode 51/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 61/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 71/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 81/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 91/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 101/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 111/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 121/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 131/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 141/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 151/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 161/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 171/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 181/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 191/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 201/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 211/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 221/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 231/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 241/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 251/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 261/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 271/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 281/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 291/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 301/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 311/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 321/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 331/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 341/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 351/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 361/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 371/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 381/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 391/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 401/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 411/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 421/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 431/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 441/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 451/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 461/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 471/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 481/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 491/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 501/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 511/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 521/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 531/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 541/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 551/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 561/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 571/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 581/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 591/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 601/2000, Reward: 0.7772186385575428 Cash: 10000.0 
