Episode 1/2000, Reward: 0.6596425482189007 Cash: 9781.398065628071 
Episode 11/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 21/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 31/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 41/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 51/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 61/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 71/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 81/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 91/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 101/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 111/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 121/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 131/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 141/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 151/2000, Reward: -0.7772186385575428 Cash: 5132.268787515215 
Episode 161/2000, Reward: 4.874219708237082 Cash: 26424.839746672216 
Episode 171/2000, Reward: 4.627816284106052 Cash: 23970.9265223281 
Episode 181/2000, Reward: 4.525268405360266 Cash: 33270.722350100696 
Episode 191/2000, Reward: 4.870416748824357 Cash: 26492.978491820708 
Episode 201/2000, Reward: 4.844313680302648 Cash: 25098.08062057055 
Episode 211/2000, Reward: 4.7554120342460795 Cash: 30909.7759128782 
Episode 221/2000, Reward: 4.76030138046555 Cash: 30935.207079460804 
Episode 231/2000, Reward: 4.760310316375184 Cash: 30935.42199801285 
Episode 241/2000, Reward: 4.548481326331951 Cash: 33147.47229224065 
Episode 251/2000, Reward: 4.53808023408793 Cash: 32575.696494634056 
Episode 261/2000, Reward: 4.548588558419086 Cash: 33145.982192798874 
Episode 271/2000, Reward: 4.548560772974951 Cash: 33146.88613709005 
Episode 281/2000, Reward: 4.864250426858174 Cash: 26458.535612964635 
Episode 291/2000, Reward: 4.830206593263273 Cash: 28105.574736534516 
Episode 301/2000, Reward: 4.844942575584065 Cash: 28311.230974004728 
Episode 311/2000, Reward: 5.277566996774696 Cash: 28323.405079759395 
Episode 321/2000, Reward: 5.382390908127743 Cash: 25486.17111560754 
Episode 331/2000, Reward: 5.383223169190228 Cash: 25488.193962156518 
Episode 341/2000, Reward: 5.38339559858113 Cash: 25488.434246354685 
Episode 351/2000, Reward: 5.272312170590456 Cash: 25955.94837651165 
Episode 361/2000, Reward: 5.272226151299953 Cash: 25956.912832929367 
Episode 371/2000, Reward: 5.27221985891688 Cash: 25956.978539823907 
Episode 381/2000, Reward: 5.272218180039383 Cash: 25957.004283830764 
Episode 391/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 401/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 411/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 421/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 431/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 441/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 451/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 461/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 471/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 481/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 491/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 501/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 511/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 521/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 531/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 541/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 551/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 561/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 571/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 581/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 591/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 601/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 611/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 621/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 631/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 641/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 651/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 661/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 671/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 681/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 691/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 701/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 711/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 721/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 731/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 741/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 751/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 761/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 771/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 781/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 791/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 801/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 811/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 821/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 831/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 841/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 851/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 861/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 871/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 881/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 891/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 901/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 911/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 921/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 931/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 941/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 951/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 961/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 971/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 981/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 991/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1001/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1011/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1021/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1031/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1041/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1051/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1061/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1071/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1081/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1091/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1101/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1111/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1121/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1131/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1141/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1151/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1161/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1171/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1181/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1191/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1201/2000, Reward: 0.7772186385575428 Cash: 10000.0 
