Episode 3/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 5/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 7/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 9/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 11/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 13/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 15/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 17/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 19/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 21/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 23/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 25/2000, Reward: -61.72076065342567 Cash: 157.6258451398806 
Episode 27/2000, Reward: -53.5263967629417 Cash: 92.17223492032241 
Episode 29/2000, Reward: -63.69831867543242 Cash: 98.80155300585214 
Episode 31/2000, Reward: -53.450288000448694 Cash: 44.934856051836135 
Episode 33/2000, Reward: -52.638686602480774 Cash: 137.53517211105893 
Episode 35/2000, Reward: -49.40946956327015 Cash: 133.52262420478704 
Episode 37/2000, Reward: -46.32276872986207 Cash: 772.8694185310375 
Episode 39/2000, Reward: -44.511562864415815 Cash: 7867.567754104167 
Episode 41/2000, Reward: -45.10975603413507 Cash: 26745.82653582349 
Episode 43/2000, Reward: -44.04237561505382 Cash: 42821.97565390702 
Episode 45/2000, Reward: -43.69804990355001 Cash: 46373.57433105066 
Episode 47/2000, Reward: -42.919151346661046 Cash: 74784.10032332277 
Episode 49/2000, Reward: -41.11689538383222 Cash: 147271.17528036115 
Episode 51/2000, Reward: -40.84739547092578 Cash: 203677.06436705694 
Episode 53/2000, Reward: -38.583950605342615 Cash: 292876.03669805144 
Episode 55/2000, Reward: -36.33099111770699 Cash: 721932.6159574953 
Episode 57/2000, Reward: -35.216459776503825 Cash: 1021705.6603987886 
Episode 59/2000, Reward: -35.22017103899465 Cash: 1227146.6447737634 
Episode 61/2000, Reward: -33.73555161010607 Cash: 1740015.1522874823 
Episode 63/2000, Reward: -32.84205475756619 Cash: 3790672.3338441155 
Episode 65/2000, Reward: -33.00163450494037 Cash: 3093944.0569127398 
Episode 67/2000, Reward: -31.608910151631918 Cash: 4191747.5013909293 
Episode 69/2000, Reward: -31.661703522726015 Cash: 3726043.5980522786 
Episode 71/2000, Reward: -32.08074972870821 Cash: 3330769.1042056014 
Episode 73/2000, Reward: -31.760456714892378 Cash: 4079603.3035938656 
Episode 75/2000, Reward: -31.453989102064558 Cash: 4300871.328259912 
Episode 77/2000, Reward: -31.631422578059333 Cash: 4923217.303106063 
Episode 79/2000, Reward: -31.196375247624545 Cash: 8301102.658085946 
Episode 81/2000, Reward: -30.960854948713898 Cash: 6408586.221634539 
Episode 83/2000, Reward: -31.398053189128593 Cash: 4776549.417894294 
Episode 85/2000, Reward: -30.779573501116285 Cash: 4900160.614867488 
Episode 87/2000, Reward: -30.96930763429648 Cash: 4147308.5889830263 
Episode 89/2000, Reward: -30.823255181537196 Cash: 4117081.7167440252 
Episode 91/2000, Reward: -30.966933538949796 Cash: 3489135.2029876383 
Episode 93/2000, Reward: -31.00171397919464 Cash: 3531512.0448332317 
Episode 95/2000, Reward: -30.805758820643536 Cash: 4405069.914737256 
Episode 97/2000, Reward: -29.407569393026847 Cash: 16085232.436759152 
Episode 99/2000, Reward: -29.758119104371538 Cash: 15240737.671795737 
Episode 101/2000, Reward: -30.23098185054047 Cash: 12665659.860843513 
Episode 103/2000, Reward: -31.094858236686758 Cash: 10039255.785481814 
Episode 105/2000, Reward: -30.002136415709032 Cash: 15461669.493583737 
Episode 107/2000, Reward: -30.05798984968663 Cash: 15691967.4148488 
Episode 109/2000, Reward: -30.544818335486625 Cash: 11172780.468941752 
Episode 111/2000, Reward: -30.801172912144086 Cash: 8974705.570398312 
